id,entry_date,customer_name_(optional),how_was_your_take_out_customer_experience?,how_satisfied_were_you_with_the_product?,how_satisfied_were_you_with_the_waiting_time?,how_would_you_rate_our_product_or_services_to_others?
1,2024-02-05,Alex,Poor,Poor,Poor,Poor
4,2024-02-03,Jordan,Very Poor,Very Poor,Very Poor,Very Poor
5,2024-02-06,Casey,Very Good,Very Good,Very Good,Very Good
6,2024-07-05,Jamie,Very Good,Very Good,Very Good,Very Good
7,2024-02-07,Quinn,Very Poor,Very Poor,Very Poor,Very Poor
8,2023-05-06,Peyton,Very Good,Very Good,Very Good,Very Good
10,2023-02-02,Morgan,Very Good,Very Good,Very Good,Very Good
11,2023-07-02,Riley,Very Good,Very Good,Very Good,Very Good
12,2023-06-02,Cameron,Very Good,Very Good,Very Good,Very Good
13,2023-02-05,Charlie,Poor,Poor,Poor,Poor
14,2023-02-06,Dakota,Very Poor,Very Poor,Very Poor,Very Poor
15,2022-02-06,Bob,Very Good,Very Good,Very Good,Very Good
16,2022-02-05,Mona,Very Good,Very Good,Very Good,Very Good
17,2022-02-02,Ray,Very Good,Very Good,Very Good,Very Good
18,2022-07-02,Liam,Very Good,Very Good,Very Good,Very Good
19,2022-06-02,Han,Very Good,Very Good,Very Good,Very Good
